,imo,created_at,updated_at,created_by_id,updated_by_id,adjusted_date,speed,mean_draft,sea_state,me_actual_steaming_time,ae_t_steaming,aux_running,blr_running,distance,actual_total_fo,total_co_2,activity_time,status,derived_rpm,slip
151,9235581,,,,,2017-09-15,0.0,6.9,0.0,0.0,4.5,3,0,0.0,1.0,3.11,3.0,PORT,0.0,0.0
152,9235581,,,,,2017-09-15,0.0,6.9,0.0,0.0,11.8,1,0,0.0,2.3,7.16,11.8,PORT,0.0,0.0
153,9235581,,,,,2017-09-16,9.38,7.15,3.0,1.6,4.2,3,0,15.0,2.3,7.16,1.6,SAIL,39.2250552370108,0.0
154,9235581,,,,,2017-09-16,13.08,7.15,3.0,13.0,13.0,1,0,170.0,15.6,48.58,13.0,SAIL,54.7139232023946,-7.8
155,9235581,,,,,2017-09-16,12.67,7.15,2.0,14.6,29.0,2,0,185.0,20.2,62.9,24.0,SAIL,53.0165130144073,-7.8
156,9235581,,,,,2017-09-16,0.0,7.15,0.0,0.0,11.8,3,0,0.0,2.3,7.16,9.4,PORT,0.0,0.0
157,9235581,,,,,2017-09-17,13.28,7.15,3.0,25.0,25.0,1,0,332.0,27.4,85.32,24.0,SAIL,55.5635982450671,-2.69
158,9235581,,,,,2017-09-18,7.22,7.15,0.0,1.8,5.4,3,0,13.0,2.0,6.23,1.8,SAIL,30.2178203307343,0.0
159,9235581,,,,,2017-09-18,13.48,7.15,3.0,21.0,22.7,3,0,283.0,27.3,85.01,21.0,SAIL,56.3844603533921,8.66
160,9235581,,,,,2017-09-18,12.98,7.15,1.0,22.8,29.3,2,0,296.0,29.5,91.86,24.0,SAIL,54.3186729831822,8.66
161,9235581,,,,,2017-09-18,0.0,7.15,0.0,0.0,1.2,1,0,0.0,0.2,0.62,1.2,PORT,0.0,0.0
162,9235581,,,,,2017-09-19,10.0,10.25,3.0,0.7,2.1,3,0,7.0,0.8,2.49,0.7,SAIL,41.8400589194782,0.0
163,9235581,,,,,2017-09-19,15.95,10.25,4.0,4.2,4.2,1,0,67.0,6.3,19.62,4.2,SAIL,66.7448558953581,0.77
164,9235581,,,,,2017-09-19,15.1,10.25,2.33,4.9,27.9,2,0,74.0,12.0,37.37,24.0,SAIL,63.1870277559467,0.77
165,9235581,,,,,2017-09-19,0.0,10.25,0.0,0.0,21.6,3,0,0.0,4.9,15.26,19.1,PORT,0.0,0.0
166,9235581,,,,,2017-09-20,16.09,10.25,5.0,23.0,23.0,1,0,370.0,33.1,103.07,24.0,SAIL,67.307920870465,3.96
167,9235581,,,,,2017-09-21,14.25,10.25,3.0,24.0,24.0,1,0,342.0,32.0,99.65,24.0,SAIL,59.6220839602565,10.26
168,9235581,,,,,2017-09-22,10.0,10.25,0.0,2.5,7.0,3,0,25.0,2.7,8.41,2.5,SAIL,41.8400589194782,0.0
169,9235581,,,,,2017-09-22,11.43,7.85,3.0,0.7,3.8,3,0,8.0,0.9,2.8,1.4,SAIL,47.8172101936894,0.0
170,9235581,,,,,2017-09-22,14.05,7.85,3.0,4.2,4.2,1,0,59.0,5.5,17.13,4.2,SAIL,58.7753208630765,-0.55
171,9235581,,,,,2017-09-22,12.43,8.45,1.5,7.4,32.4,2,0,92.0,13.3,41.42,24.0,SAIL,52.0173705485405,-0.55
172,9235581,,,,,2017-09-22,0.0,7.85,0.0,0.0,17.4,3,0,0.0,4.2,13.08,15.9,PORT,0.0,0.0
173,9235581,,,,,2017-09-23,11.5,7.85,3.0,24.0,24.0,1,0,276.0,25.8,80.34,24.0,SAIL,48.1160677574,-1.45
174,9235581,,,,,2017-09-24,11.16,7.85,4.0,25.0,25.0,1,0,279.0,30.3,94.35,24.0,SAIL,46.6935057541377,8.85
175,9235581,,,,,2017-09-25,10.0,7.85,0.0,1.1,6.0,3,0,11.0,1.3,4.05,2.0,SAIL,41.8400589194782,0.0
176,9235581,,,,,2017-09-25,10.54,7.85,3.0,18.5,18.5,1,0,195.0,18.5,57.61,18.5,SAIL,44.1016837259365,7.04
177,9235581,,,,,2017-09-25,10.51,7.85,1.0,19.6,28.0,2,0,206.0,20.4,63.53,24.0,SAIL,43.9747558031251,7.04
178,9235581,,,,,2017-09-25,0.0,7.85,0.0,0.0,3.5,1,0,0.0,0.6,1.87,3.5,PORT,0.0,0.0
179,9235581,,,,,2017-09-26,12.0,9.8,3.0,0.5,2.1,3,0,6.0,0.7,2.18,0.7,SAIL,50.2080707033739,0.0
180,9235581,,,,,2017-09-26,19.0,9.8,3.0,5.0,5.0,1,0,95.0,10.7,33.32,5.0,SAIL,79.4961119470086,0.63
181,9235581,,,,,2017-09-26,18.36,9.8,2.0,5.5,26.9,2,0,101.0,15.2,47.33,24.0,SAIL,76.8335627430418,0.63
182,9235581,,,,,2017-09-26,0.0,9.8,0.0,0.0,19.8,3,0,0.0,3.8,11.83,18.3,PORT,0.0,0.0
183,9235581,,,,,2017-09-27,18.7,9.8,2.0,23.0,23.0,1,0,430.0,48.2,150.09,24.0,SAIL,78.2227188494593,3.81
184,9235581,,,,,2017-09-28,7.2,9.8,0.0,2.5,7.0,3,0,18.0,2.1,6.54,2.5,SAIL,30.1248424220243,0.0
185,9235581,,,,,2017-09-28,14.05,9.8,4.0,20.0,20.0,1,0,281.0,26.5,82.52,20.0,SAIL,58.7852827818669,11.19
